,,,,,,
,,,,,,
,"                                                                                                                                 
 Jiangsu Linyang Energy Storage Technology Co., Ltd 
QUOTATION",,,,,
,,,,,,
,"16-18 Floor, Building 1, No. 68, Olympic Sports Street, Jianye District, Nanjing City, Jiangsu Province",,,,,
,,,,,,
,,,,,,
,Buyer Information ,,,Quotation No.: LY202602111,,
,Recipient:  ,,,Date: 2026/2/11,,
,Company: Energy Solution EPC SP. z o.o.,,,From: Kamil,,
,"Address：ul. Prosta 67, 00-838 Warsaw",,,Contact: kamil@linyang.com,,
,Project name: Cyprus 118MWh Project,,,,,
,,,,,,
,Below is the detailed quotation of the products as per your requirements:,,,,,
,No.,Project Capacity,Description,Total CIF price(EUR),Unit CIF Price(EUR/KWh),
,1,"Greendorado plots 425, 421, 30, 27, 12, 193
1.25mw/5mwh","1. 20 HC 5.015MWh lithium iron phosphate battery system(1 set)
2. 1.25MW MV Skid Container(1 set)
3. Service","564,552.77 €",112.55 €,
,2,"Agios Sozomenos plots 159/160 Agrivoltaic
3.6mw+2.4mw/25mwh","1. 20 HC 5.015MWh lithium iron phosphate battery system(5 sets)
2. 3.6MW MV Skid Container(1 set)
3. 2.4MW MV Skid Container(1 set)
4. Service","2,310,908.19 €",92.14 €,
,3,"Greendorado 193, 417, 418 Agrivoltaic
0.75mw/3.34mwh","1. 20 HC 3.343MWh lithium iron phosphate battery system(1 set) 
2. 0.75MW MV Skid Container(1 set)
3. Service","446,041.55 €",133.39 €,
,4,"Polemi plot 1494 Agrivoltaic
1.25mw/8. 35mwh","1. 20 HC 4.179MWh lithium iron phosphate battery system(2 sets) 
2. 1.25MW MV Skid Container(1 set)
3. Service","829,621.85 €",99.24 €,
,5,"Potamiaplot 151 Agrivoltaic
1.25mw/8. 35mwh
","1. 20 HC 4.179MWh lithium iron phosphate battery system(2 sets) 
2. 1.25MW MV Skid Container(1 set)
3. Service","829,621.85 €",99.24 €,
,6,"Potamia plot 208 Agrivoltaic
4.5mw/20mwh","1. 20 HC 5.015MWh lithium iron phosphate battery system(4 sets) 
2. 4.5MW MV Skid Container(1 set)
3. Service","1,815,300.83 €",90.48 €,
,7,"Easy Power 2
4.5mw/10mwh","1. 20 HC 5.015MWh lithium iron phosphate battery system(2 sets) 
2. 4.5MW MV Skid Container(1 set)
3. Service","1,071,159.65 €",106.78 €,
,8,"Renergetic 2
2.4mw/10mwh","1. 20 HC 5.015MWh lithium iron phosphate battery system(2 sets) 
2. 2.4MW MV Skid Container(1 set)
3. Service","943,551.21 €",94.05 €,
,9,"Easy Power 4
1.8mw/8.35mwh","1. 20 HC 4.179MWh lithium iron phosphate battery system(2 sets) 
2. 1.8MW MV Skid Container(1 set)
3. Service","852,929.32 €",102.03 €,
,10,"Greendorado (Larnaca)
1.8mw/8.34mwh","1. 20 HC 4.179MWh lithium iron phosphate battery system(2 sets) 
2. 1.8MW MV Skid Container(1 set)
3. Service","852,929.32 €",102.03 €,
,11,"Waneron FIT scheme
3mw/11.283mwh","1. 20 HC 3.761MWh lithium iron phosphate battery system(3 sets) 
2. 3MW MV Skid Container(1 set)
3.  Service","1,133,091.32 €",100.40 €,
,12,Total CIF Price,,,"11,649,707.86 €",
,,,,,,
,Remarks:,,,,,
,1. Quotation validity: within 30 days  from date of quotation.,,,,,
,2. Payment term: 30%T/T advance payment shall be made within 7 days since contract/PO signed，70% T/T shall be made with 7 days before shipment.,,,,,
,3. Incoterms: CIF Limassol,,,,,
,4. Ready to ship: around 90 days after receipt of advance payment and contract signing.,,,,,
,5. Warranty Terms: The equipment is warranted for 5 years (excluding consumables). Free repairs will be provided for damages not caused by operational errors，and Force Majeure.,,,,,
,6. Force Majeure: Delays caused by war/natural disasters will result in both parties negotiating an extension or termination of the contract.  ,,,,,
,7. Dispute Resolution: Disputes shall be submitted to the China International Economic and Trade Arbitration Commission (CIETAC) Shanghai Sub-Commission for arbitration.,,,,,
,"8. Price Change: The Buyer understands and agrees the price provided in the Quotation/PO/Contracts is based on the condition as mutually understood that as an exporter under this Quotation/PO/Contract, the Seller shall be entitled to and receive the tax rebate from the Goverment of People's Repulic of China. The Buyer expressly agrees that if such tax rebate from the Goverment of P.R. China is decreased, or cancelled due to the laws, regulations, policies or  other changes of Goverment of P.R. China, the Seller shall be entitled to adjust the price accordingly.",,,,,
