name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,email_found,email_sent,website
"Building at 34.7060,33.0710",34.70597303,33.07100226,Cyprus,7943.539463130102,794.0,1588,1199026,221820,3.8,683.4,833700,,False,
"Building at 34.7061,33.0684",34.706094615384615,33.068394892307694,Cyprus,7522.262519479209,752.0,1504,1135601,210086,3.8,647.3,789600,,False,
"Building at 34.7057,33.0700",34.705738796666665,33.07003610666667,"17, Iapetou",6175.257392671047,617.5,1235,932492,172511,3.8,531.5,648375,,False,
"Building at 34.7064,33.0633",34.70642925,33.06329325,"4a, Alkidamou, Limassol, 4101",6004.007277405637,600.0,1200,906065,167622,3.8,516.5,630000,,False,
Asbis,34.70508385714286,33.06343997142857,"5, Iapetou, Limassol, 4101",5468.214224055976,546.5,1093,825275,152676,3.8,470.4,573825,,False,
"Building at 34.7080,33.0723",34.70799498421053,33.07228325263158,Cyprus,5317.08646423556,531.5,1063,802621,148485,3.8,457.5,558075,,False,
"Building at 34.7062,33.0744",34.706224475,33.074353675,Cyprus,4746.05333084236,474.5,949,716547,132561,3.8,408.4,498225,,False,
"Building at 34.7077,33.0739",34.707730670588234,33.07387085294118,Cyprus,3577.292251023861,357.5,715,539864,99875,3.8,307.7,375375,,False,
"Building at 34.7064,33.0641",34.70643156,33.06411412,"8/1, Falea, Limassol, 4101",3449.7726354647193,344.5,689,520233,96243,3.8,296.5,361725,,False,
"Building at 34.7053,33.0668",34.705276500000004,33.066773760000004,Cyprus,3445.412918703085,344.5,689,520232,96243,3.8,296.5,361725,,False,
"Building at 34.7067,33.0687",34.70666832,33.06870446,Cyprus,3444.4661994843445,344.0,688,519477,96103,3.8,296.1,361200,,False,
"Building at 34.7051,33.0733",34.70508058,33.07329754,Cyprus,3337.551730588916,333.5,667,503621,93170,3.8,287.1,350175,,False,
"Building at 34.7073,33.0669",34.70726304782609,33.06689648695652,Cyprus,3318.4273588861606,331.5,663,500600,92611,3.8,285.3,348075,,False,
"Building at 34.7051,33.0723",34.7050560125,33.072340075,Cyprus,3192.7429157442225,319.0,638,481725,89119,3.8,274.6,334950,,False,
"Building at 34.7074,33.0687",34.70737876,33.068698,Cyprus,3146.534871041028,314.5,629,474928,87862,3.8,270.7,330225,,False,
"Building at 34.7078,33.0705",34.70777786,33.070500960000004,Cyprus,3088.4794416278155,308.5,617,465868,86186,3.8,265.5,323925,,False,
"Building at 34.7045,33.0629",34.70453946666667,33.062866355555556,Cyprus,2785.013302193968,278.5,557,420566,77805,3.8,239.7,292425,,False,
"Building at 34.7071,33.0649",34.70710866666667,33.06489853333333,Cyprus,2772.8964201745703,277.0,554,418300,77386,3.8,238.4,290850,,False,
"Building at 34.7050,33.0651",34.70502736842106,33.06506945789474,Cyprus,2761.443611422512,276.0,552,416790,77106,3.8,237.6,289800,,False,
"Building at 34.7085,33.0735",34.70847222,33.073535199999995,Cyprus,2677.261701185992,267.5,535,403955,74732,3.8,230.3,280875,,False,
