send,name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,email_found,email_sent,gmaps_url,gmb_found,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
,"Building at 34.7060,33.0710",34.70597303,33.07100226,Cyprus,7943.539463130102,794.0,1588,1199026,221820,3.8,683.4,833700,,False,"https://www.google.com/maps?q=34.705973,33.071002",False,,,,,,,,
,"Building at 34.7061,33.0684",34.706094615384615,33.068394892307694,Cyprus,7522.262519479209,752.0,1504,1135601,210086,3.8,647.3,789600,,False,"https://www.google.com/maps?q=34.706095,33.068395",False,,,,,,,,
,"Building at 34.7057,33.0700",34.705738796666665,33.07003610666667,"17, Iapetou",6175.257392671047,617.5,1235,932492,172511,3.8,531.5,648375,,False,"https://www.google.com/maps?q=34.705739,33.070036",False,,,,,,,,
,"Building at 34.7064,33.0633",34.70642925,33.06329325,"4a, Alkidamou, Limassol, 4101",6004.007277405637,600.0,1200,906065,167622,3.8,516.5,630000,,False,"https://www.google.com/maps?q=34.706429,33.063293",False,,,,,,,,
,Asbis,34.70508385714286,33.06343997142857,"5, Iapetou, Limassol, 4101",5468.214224055976,546.5,1093,825275,152676,3.8,470.4,573825,,False,"https://www.google.com/maps?q=34.705084,33.06344",False,,,,,,,,
,"Building at 34.7080,33.0723",34.70799498421053,33.07228325263158,Cyprus,5317.08646423556,531.5,1063,802621,148485,3.8,457.5,558075,,False,"https://www.google.com/maps?q=34.707995,33.072283",False,,,,,,,,
,"Building at 34.7062,33.0744",34.706224475,33.074353675,Cyprus,4746.05333084236,474.5,949,716547,132561,3.8,408.4,498225,,False,"https://www.google.com/maps?q=34.706224,33.074354",False,,,,,,,,
,"Building at 34.7077,33.0739",34.707730670588234,33.07387085294118,Cyprus,3577.292251023861,357.5,715,539864,99875,3.8,307.7,375375,,False,"https://www.google.com/maps?q=34.707731,33.073871",False,,,,,,,,
,"Building at 34.7064,33.0641",34.70643156,33.06411412,"8/1, Falea, Limassol, 4101",3449.7726354647193,344.5,689,520233,96243,3.8,296.5,361725,,False,"https://www.google.com/maps?q=34.706432,33.064114",False,,,,,,,,
,"Building at 34.7053,33.0668",34.705276500000004,33.066773760000004,Cyprus,3445.412918703085,344.5,689,520232,96243,3.8,296.5,361725,,False,"https://www.google.com/maps?q=34.705277,33.066774",False,,,,,,,,
,"Building at 34.7067,33.0687",34.70666832,33.06870446,Cyprus,3444.4661994843445,344.0,688,519477,96103,3.8,296.1,361200,,False,"https://www.google.com/maps?q=34.706668,33.068704",False,,,,,,,,
