send,name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,pv_status,pv_coverage,email_found,email_sent,gmaps_url,gmb_found,gmb_confidence,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
YES,Cosmetic Derma Medicine,35.165107,33.318284,"28ης Οκτωβρίου 1 &, Georgiou Griva Digeni, Egkomi Lefkosias 2414, Cyprus",749.2386305508188,6.5,13,9341,1728,3.9,5.3,6825,none,0.014,info@cosmeticdermamedicine.gr,False,https://maps.google.com/?cid=10098957568747749327&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Cosmetic Derma Medicine,22 257490,https://www.cosmeticdermamedicine.gr/,"28ης Οκτωβρίου 1 &, Georgiou Griva Digeni, Egkomi Lefkosias 2414, Cyprus","doctor, health, point_of_interest, establishment",ChIJi7W2DZEb3hQRz7_z9ma0Jow,https://www.cosmeticdermamedicine.gr/,22 257490
YES,"Ιατρικό Κέντρο ""Ο Απόστολος Λουκάς"" - ""Apostolos Loukas"" Medical Center",35.1572791,33.3128382,"Street, Ilia Papakiriakou 24, Egkomi Lefkosias 2415, Cyprus",538.1316805909585,4.0,8,5748,1063,3.9,3.3,4200,likely,0.172,info@apostolosloukas.org,False,https://maps.google.com/?cid=6137676624833804924&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,"Ιατρικό Κέντρο ""Ο Απόστολος Λουκάς"" - ""Apostolos Loukas"" Medical Center",22 100444,http://www.apostolosloukas.org/,"Street, Ilia Papakiriakou 24, Egkomi Lefkosias 2415, Cyprus","medical_center, research_institute, hospital, service, doctor, health, point_of_interest, establishment",ChIJkxQLHEMa3hQRfPpvGV9oLVU,http://www.apostolosloukas.org/,22 100444
YES,DIKTEON Medical Diagnostic Center,35.1272355,33.3237302,"Strovolou 290, Strovolos 2048, Cyprus",491.1804714495919,3.5,7,5038,932,3.9,2.9,3675,partial,0.07,info@dikteonmedical.com,False,https://maps.google.com/?cid=3201733211591508196&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,DIKTEON Medical Diagnostic Center,22 325252,http://www.dikteonmedical.com/,"Strovolou 290, Strovolos 2048, Cyprus","medical_center, medical_lab, hospital, medical_clinic, service, doctor, health, point_of_interest, establishment",ChIJUVIXprcb3hQR5IB7dmTXbiw,http://www.dikteonmedical.com/,22 325252
YES,MedInstitute | Nikolenko Clinic,35.169653499999995,33.3736998,"Digeni Akrita 13 - 15, Nicosia 1055, Cyprus",471.3467825846591,2.0,4,2862,529,4.0,1.6,2100,confirmed,0.507,info@ycmedinstitute.com,False,https://maps.google.com/?cid=5472582712951889534&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,MedInstitute | Nikolenko Clinic,22 755940,https://nikolenkoclinic.com/,"Digeni Akrita 13 - 15, Nicosia 1055, Cyprus","medical_center, hospital, service, doctor, health, point_of_interest, establishment",ChIJ_fad7mcX3hQRft5wgfuE8ks,https://nikolenkoclinic.com/,22 755940
YES,Symeou Dental Center,35.166104499999996,33.3688237,"58-60, Digeni Akrita Avenue, 5989+CF8 Ghinis Building, Διγενή Ακρίτα-1st Floor, Lefkoşa 1061, Cyprus",388.51006288584114,3.0,6,4293,794,4.0,2.4,3150,none,0.012,info@symeoudental.com,False,https://maps.google.com/?cid=17657964459395713066&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Symeou Dental Center,22 751789,https://www.symeoudental.com/?utm_source=organic&utm_medium=gmb&utm_id=gmbcyprus,"58-60, Digeni Akrita Avenue, 5989+CF8 Ghinis Building, Διγενή Ακρίτα-1st Floor, Lefkoşa 1061, Cyprus","dental_clinic, dentist, medical_clinic, service, doctor, health, point_of_interest, establishment",ChIJr-ZEUWcX3hQRKgjBsh6xDfU,https://www.symeoudental.com/?utm_source=organic&utm_medium=gmb&utm_id=gmbcyprus,22 751789
YES,MRI Nicosia | Cyprus | Elvetiko Diagnostic Centre,35.1403421,33.3395315,"Charalambou Pettemeridi 17, Strovolos 2042, Cyprus",307.9908785458563,2.0,4,2879,533,3.9,1.6,2100,none,0.002,admin@elvetiko.com,False,https://maps.google.com/?cid=11676815976800676928&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,MRI Nicosia | Cyprus | Elvetiko Diagnostic Centre,22 111111,http://www.elvetiko.com/,"Charalambou Pettemeridi 17, Strovolos 2042, Cyprus","medical_clinic, doctor, health, point_of_interest, establishment",ChIJ9_fo1hwb3hQRQGzPtENiDKI,http://www.elvetiko.com/,22 111111
,Δρ. Φοινικουλα Σπύρου - Dr. Finikoula Spyrou - Dermatologist - Dermoanaplasis Lazer,35.1583101,33.354434999999995,"Κυριάκου Μάτση και Γλαύκου 1, γρ 102, Lefkoşa 1085, Cyprus",305.9679879512512,30.5,61,43642,8074,4.0,24.9,32025,confirmed,0.389,,False,https://maps.google.com/?cid=2871210560531291482&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Δρ. Φοινικουλα Σπύρου - Dr. Finikoula Spyrou - Dermatologist - Dermoanaplasis Lazer,22 275005,,"Κυριάκου Μάτση και Γλαύκου 1, γρ 102, Lefkoşa 1085, Cyprus","doctor, health, point_of_interest, establishment",ChIJi6-dlvkZ3hQRWl3R38qW2Cc,,22 275005
YES,Saveco Health Centre - Larnaca,34.9139591,33.637506,"Evanthias Pieridou 11 larnaca, Larnaka 6022, Cyprus",292.74045842603516,1.5,3,2200,407,3.9,1.3,1575,partial,0.143,info@savecolarnaca.com,False,https://maps.google.com/?cid=18358520749766796039&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Saveco Health Centre - Larnaca,24 209777,http://www.savecolarnaca.com/,"Evanthias Pieridou 11 larnaca, Larnaka 6022, Cyprus","medical_center, hospital, service, doctor, health, point_of_interest, establishment",ChIJe21cgS-D4BQRB-N8s1qRxv4,http://www.savecolarnaca.com/,24 209777
YES,Aesthesis Dental Centre - Οδοντίατρος Λάρνακα,34.9304926,33.623206599999996,"Angelos Court, Spyrou Kyprianou 84-Ground Floor, Larnaka 6052, Cyprus",289.6729298691747,1.0,2,1467,271,3.9,0.8,1050,confirmed,0.723,info@aesthesisdental.com,False,https://maps.google.com/?cid=14915290125275762803&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Aesthesis Dental Centre - Οδοντίατρος Λάρνακα,24 656538,http://www.aesthesisdental.com/,"Angelos Court, Spyrou Kyprianou 84-Ground Floor, Larnaka 6052, Cyprus","dental_clinic, dentist, medical_clinic, doctor, health, point_of_interest, establishment",ChIJ53BypQYo3hQRcxD0JljB_c4,http://www.aesthesisdental.com/,24 656538
YES,EIMC Clinic Engomi,35.1655739,33.331072899999995,"March 25 21A, Nicosia 2408, Cyprus",260.25939676399037,1.0,2,1437,266,3.9,0.8,1050,none,0.0,vicki.z@eimc.com.cy,False,https://maps.google.com/?cid=18367510753602867341&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,EIMC Clinic Engomi,22 008888,https://eimc.com.cy/,"March 25 21A, Nicosia 2408, Cyprus","medical_center, hospital, medical_clinic, service, doctor, health, point_of_interest, establishment",ChIJ8_yULSgb3hQRjZCqFLeB5v4,https://eimc.com.cy/,22 008888
YES,Aretaeio Hospital,35.1395039,33.3639855,"55-57, Andrea Avraamidi st, Strovolos 2024, Cyprus",200,20.0,40,28686,5307,4.0,16.4,21000,none,0.0,n.nicolaou@aretaeio.com,False,https://maps.google.com/?cid=7947141780946287133&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Aretaeio Hospital,22 200300,https://www.aretaeio.com/,"55-57, Andrea Avraamidi st, Strovolos 2024, Cyprus","hospital, medical_clinic, service, doctor, health, point_of_interest, establishment",ChIJ1eThvJMZ3hQRHfr3EFjrSW4,https://www.aretaeio.com/,22 200300
YES,Smalto Dental Clinic,35.1456824,33.3447585,"Strovolou 76, Nicosia 2018, Cyprus",200,11.0,22,15832,2929,3.9,9.0,11550,none,0.0,info@smaltoclinic.com,False,https://maps.google.com/?cid=17113517069599489660&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Smalto Dental Clinic,22 112112,https://www.smaltoclinic.com/,"Strovolou 76, Nicosia 2018, Cyprus","dental_clinic, dentist, medical_clinic, service, doctor, health, point_of_interest, establishment",ChIJ-Swqf_UZ3hQRfL4Pfxptf-0,https://www.smaltoclinic.com/,22 112112
YES,Παιδιατρικο Κεντρο Αγια Σοφια,35.154344099999996,33.344082199999995,"Prodromou 38, Nicosia 2063, Cyprus",200,20.0,40,28740,5317,3.9,16.4,21000,none,0.0,agiasofiaclinic@gmail.com,False,https://maps.google.com/?cid=11406346501174673701&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Παιδιατρικο Κεντρο Αγια Σοφια,22 380370,https://www.agiasofia.com.cy/,"Prodromou 38, Nicosia 2063, Cyprus","doctor, health, point_of_interest, establishment",ChIJ48oFFBwa3hQRJUGJm7V7S54,https://www.agiasofia.com.cy/,22 380370
