send,name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,pv_status,pv_coverage,email_found,email_sent,gmaps_url,gmb_found,gmb_confidence,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
,"Building at 35.1247,33.3538",35.124658475000004,33.353840375,Cyprus,21004.066184949268,211.5,423,303618,56169,4.0,173.1,222075,partial,0.073,,False,"https://www.google.com/maps?q=35.124658,33.35384",False,,,,,,,,,
,"Building at 34.6504,33.0121",34.650417759999996,33.01205058,Cyprus,10023.701151789846,122.5,245,185150,34253,3.8,105.5,128625,none,0.0,,False,"https://www.google.com/maps?q=34.650418,33.012051",False,,,,,,,,,
,"Building at 34.6504,33.0113",34.650422320000004,33.01127316,Cyprus,9789.283245872313,122.5,245,185151,34253,3.8,105.5,128625,none,0.0,,False,"https://www.google.com/maps?q=34.650422,33.011273",False,,,,,,,,,
,"Building at 34.6538,33.0159",34.653809939999995,33.01587288,Cyprus,7196.285042922156,77.5,155,117136,21670,3.8,66.8,81375,none,0.0,,False,"https://www.google.com/maps?q=34.65381,33.015873",False,,,,,,,,,
,"Building at 34.6538,33.0150",34.653833080000005,33.01504708,Cyprus,6966.823421420912,82.5,165,124694,23068,3.8,71.1,86625,none,0.0,,False,"https://www.google.com/maps?q=34.653833,33.015047",False,,,,,,,,,
,فونتانا,34.66871438,33.03247622,3013,6730.021472482325,73.0,146,110082,20365,3.8,62.7,76650,partial,0.079,,False,https://maps.google.com/?cid=11704285473882626132&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,فونتانا,99 416800,,"2 Livigkston, Amerikanos 3015, Limasol 3015, Cyprus","point_of_interest, establishment",ChIJ7U3gZ8oz5xQRVNiJZKD5baI,,99 416800
,DP World Limassol,34.65618128,33.0173622,Cyprus,6711.826319116727,78.5,157,118647,21950,3.8,67.6,82425,partial,0.088,,False,https://maps.google.com/?cid=14271366708577305479&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,DP World Limassol,25 858700,https://limassolcruise.com/privacy-policy/,"M249+82Q, Harbor Rd, Limasol 3045, Cyprus","corporate_office, point_of_interest, establishment",ChIJC7vmmmky5xQRhwMWlGgUDsY,https://limassolcruise.com/privacy-policy/,25 858700
,الشغل,35.166428333333336,33.25264835238095,Cyprus,5527.715869763164,57.5,115,83064,15367,3.9,47.3,60375,likely,0.274,,False,https://maps.google.com/?cid=1248695634096285951&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,الشغل,,,"5782+HV, Alayköy 2674","restaurant, point_of_interest, food, establishment",ChIJ19zAJgAF3hQR_-jjNhBCVBE,,
,Kazoulis Global Logistics Ltd,34.66379030588235,32.99388351176471,"2, Odyssea Androutsou",5182.593312775209,59.5,119,90662,16772,3.7,51.7,62475,none,0.001,,False,https://maps.google.com/?cid=16326550233372704204&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,MEDIUM,Kazoulis warehouse Pickup,25 278278,,"MX7V+M74, Kato Polemidia 4150, Cyprus","point_of_interest, establishment",ChIJwRZHsKAz5xQRzD3Ae--Ok-I,,25 278278
YES,Limassol Greens Head Office,34.646933044444445,32.974078666666664,Cyprus,4881.060268066125,55.5,111,84558,15643,3.7,48.2,58275,none,0.006,jsmith@limassolgreens.com,False,https://maps.google.com/?cid=10751999042281867392&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Limassol Greens Head Office,25 888700,https://www.limassolgreens.com/,"Tserkezoi 4652, Cyprus","golf_course, athletic_field, general_contractor, sports_activity_location, point_of_interest, service, establishment",ChIJCVqe5z0v5xQRgAiNlCnGNpU,https://www.limassolgreens.com/,25 888700
,G.P. WOOD DESIGNS L.T.D.,34.668837014285714,33.03316687142857,3013,4785.480297117105,28.0,56,42223,7811,3.8,24.1,29400,likely,0.21,,False,https://maps.google.com/?cid=18193402407150246146&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,G.P. WOOD DESIGNS L.T.D.,96 572712,,"M29M+C7G, Aktaia, Lemesos 3013, Cyprus","service, point_of_interest, manufacturer, establishment",ChIJBYVyGlYy5xQRAlnttRjze_w,,96 572712
,"Building at 35.1628,33.2730",35.162762300000004,33.27302213076923,Cyprus,3969.6193939760537,40.0,80,57784,10690,3.9,32.9,42000,none,0.0,,False,"https://www.google.com/maps?q=35.162762,33.273022",False,,,,,,,,,
,EL CHAPO GARAGE,35.1503681,33.231420577777776,Cyprus,3342.691843837462,36.0,72,52225,9662,3.9,29.8,37800,none,0.0,,False,https://maps.google.com/?cid=17880047429597967275&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,EL CHAPO GARAGE,97 777792,,"Andrea Kariou 4, Kokkinotrimithia 2660, Cyprus","car_repair, service, point_of_interest, establishment",ChIJqzjhMgAF3hQRq7NSmGewIvg,,97 777792
,EAC warehouse,35.126982354545454,33.366652200000004,Cyprus,3267.608134379873,37.0,74,53062,9816,4.0,30.2,38850,none,0.0,,False,https://maps.google.com/?cid=726212219676927033&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,EAC warehouse,,,"Kampou 49, Strovolos 2030, Cyprus","electrician, service, point_of_interest, establishment",ChIJ1WVWpdIZ3hQROSRkiSoGFAo,,
,ΣΕΔΙΓΕΠ Λύσης,34.870334760000006,33.5799278,Cyprus,3164.347356109736,35.0,70,51361,9502,3.9,29.3,36750,none,0.015,,False,https://maps.google.com/?cid=5250539282293210840&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,ΣΕΔΙΓΕΠ Λύσης,,,"VHCJ+429, Dromolaxia 7020, Cyprus","storage, point_of_interest, establishment",ChIJQ-if6fKd4BQR2D5SoKip3Ug,,
YES,KEO Winery & Brewery,34.670137520000004,33.0340948,3013,2993.334617190123,33.5,67,50517,9346,3.8,28.8,35175,none,0.0,keo@keogroup.com,False,https://maps.google.com/?cid=10048642623700544316&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,MEDIUM,KEO Winery & Brewery,,https://keogroup.com/,"M2CM+277, Franklin Roosevelt, Lemesos 3013, Cyprus","winery, farm, service, manufacturer, food, point_of_interest, establishment",ChIJq6qq-lUy5xQRPCuF7Dnzc4s,https://keogroup.com/,
,IVECO Cyprus,35.12859636923077,33.37405316923077,Lemesou Avenue,2937.0768546972604,31.0,62,44463,8226,4.0,25.3,32550,partial,0.139,,False,https://maps.google.com/?cid=17373906131873436316&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,IVECO Cyprus,22 740515,http://www.iveco.com.cy/,"Shacolas House, Lemesou 200, Strovolos 2025, Cyprus","truck_dealer, point_of_interest, store, establishment",ChIJe3L61KIZ3hQRnBJMd5ODHPE,http://www.iveco.com.cy/,22 740515
,"Building at 35.1519,33.2516",35.151892079999996,33.25163614,Cyprus,2673.277131213422,28.0,56,40449,7483,3.9,23.1,29400,none,0.049,,False,"https://www.google.com/maps?q=35.151892,33.251636",False,,,,,,,,,
,Paint Works Dimitris Kolanis,35.069523028571425,33.23408785714286,Cyprus,2606.0460588878404,29.0,58,41925,7756,3.9,23.9,30450,none,0.0,,False,https://maps.google.com/?cid=507548822367784724&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Paint Works Dimitris Kolanis,99 349864,,"Σπύρου Κυπριανού, Nicosia 2643, Cyprus","car_repair, point_of_interest, service, establishment",ChIJG_r0CXUD3hQRFE9m__YsCwc,,99 349864
,Ghalanos Distributors Ltd,34.67392756153846,33.03795355384615,Cyprus,2598.1697347513705,29.5,59,44485,8230,3.8,25.4,30975,confirmed,0.342,,False,https://maps.google.com/?cid=13140998176888767522&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Ghalanos Distributors Ltd,25 381305,,"M2FQ+H7H, Nicou Georgiou Street, Lemesos 3042, Cyprus","point_of_interest, supplier, establishment",ChIJCRFW6gEz5xQRIsSCxzc0XrY,,25 381305
,Primepack Ltd,35.06721316,33.23301302,Cyprus,2520.4255731529174,6.5,13,9396,1738,3.9,5.4,6825,none,0.0,,False,https://maps.google.com/?cid=13789778652493815912&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,True,HIGH,Primepack Ltd,22 625155,https://www.facebook.com/PrimePack.Cy,"Spyrou Kyprianou Avenue 24, Nicosia 2643, Cyprus","point_of_interest, supplier, establishment",ChIJZy44ARIX3hQRaKAogZ8iX78,https://www.facebook.com/PrimePack.Cy,22 625155
