,,,,,,,,,,,,,,,
,Jan,Feb,March,April,May,June,July,August,September,October,November,December,Year Avg,Year Total,
System Sales,"€26,800.00",€0.00,"€4,900.00","€7,800.00","€7,350.00","€2,244,714.00","€1,213,630.00","€20,000.00","€20,000.00","€20,000.00","€20,000.00","€20,000.00","€381,927.33","€2,291,564.00",
Bess Sales,,,,,,,,,,,,,,,"€357,000.00"
Bess OM,,,,,,,,,,,,,,,"€45,000.00"
Energy Trading,,,,,,,,,,,,,,,
BESS Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Income,"€26,800.00",€0.00,"€4,900.00","€7,800.00","€7,350.00","€2,244,714.00","€1,213,630.00","€20,000.00","€20,000.00","€20,000.00","€20,000.00","€20,000.00","€381,927.33","€2,291,564.00",
,,,,,,,,,,,,,,,
Expenses,,,,,,,,,,,,,,,
Sales Comission,"€3,537.60",€0.00,€646.80,"€1,029.60",€970.20,"€67,341.42","€36,408.90","€2,640.00","€2,640.00","€2,640.00","€2,640.00","€2,640.00","€12,254.27","€73,525.62",
Subcontractors,"€16,080.00",€0.00,"€2,940.00","€4,680.00","€4,410.00","€2,020,242.60","€1,092,267.00","€12,000.00","€12,000.00","€12,000.00","€12,000.00","€12,000.00","€341,392.10","€2,048,352.60",
Advertising,"€3,000.00","€3,000.00","€3,000.00","€1,000.00",€500.00,€500.00,€500.00,€500.00,€500.00,€500.00,€500.00,€500.00,"€1,833.33","€11,000.00",
Office Rent,,,,,,,,,,,,,,,
Rent Warehouse,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,"€8,000.00","€8,000.00","€8,000.00",€0.00,€0.00,
Chartered Accountant,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,"€1,800.00",
Cars,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,€900.00,"€5,400.00",
Travel ,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,€300.00,"€1,800.00",
Training,,,,,,,,"€2,000.00",,"€2,000.00",,,,,
Employees,,,,,,,,,,,,,,,
Alexander Papacosta,"€2,350.00","€2,350.00","€2,350.00","€2,350.00","€4,500.00","€4,500.00","€4,500.00","€4,500.00","€4,500.00","€4,500.00","€4,500.00","€4,500.00","€3,066.67","€45,400.00",
Costas Hadji,"€1,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00","€3,000.00",,"€34,000.00",
Andreas Christo,,,"€2,500.00","€2,500.00","€1,000.00","€1,000.00","€1,000.00","€1,000.00","€1,000.00","€1,000.00","€1,000.00","€1,000.00","€1,750.00","€13,000.00",
Chris ,"€2,000.00","€2,000.00",€500.00,,,,,,,,,,"€1,500.00","€4,500.00",
Chilat Civil Engineer,"€1,400.00","€1,200.00","€1,800.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00",,"€17,000.00",
Novia - Lead Secretary,"€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€1,400.00","€16,800.00",
Electrician 1,,,,,,,,,,"€3,000.00","€3,000.00","€3,000.00",,,
Electrician 2,,,,,,,,,,"€3,000.00","€3,000.00","€3,000.00",,,
,,,,,,,,,,,,,,,
Social,"€1,330.00","€1,890.00","€1,890.00","€1,890.00","€2,492.00","€2,492.00","€2,492.00","€2,492.00","€2,492.00","€3,332.00","€3,332.00","€3,332.00","€1,997.33","€29,456.00",
AI Tokens,€280.00,,"€1,000.00","€1,000.00",€500.00,€500.00,€500.00,€500.00,€500.00,€500.00,€500.00,€500.00,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Expenses,"€33,877.60","€16,340.00","€22,526.80","€21,749.60","€21,672.20","€2,103,876.02","€1,144,967.90","€32,932.00","€30,932.00","€47,772.00","€45,772.00","€45,772.00","€370,007.04","€2,220,042.22",
,,,,,,,,,,,,,,,
Gross Margin,"-€7,077.60","-€16,340.00","-€17,626.80","-€13,949.60","-€14,322.20","€140,837.98","€68,662.10","-€12,932.00","-€10,932.00","-€27,772.00","-€25,772.00","-€25,772.00","€11,920.30","€71,521.78",
Net Margin,"-€5,947.56","-€13,731.09","-€14,812.44","-€11,722.35","-€12,035.46","€118,351.24","€57,699.24","-€10,867.23","-€9,186.55","-€23,337.82","-€21,657.14","-€21,657.14","€10,017.06","€60,102.34",
VAT,"€1,352.80",-€684.00,-€311.60,€288.80,€349.60,"€42,440.57","€22,849.97","€1,311.00","€1,311.00","€1,311.00","€1,311.00","€1,311.00","€7,239.36","€43,436.17",
