LIGHTHIEF EPC — CONFIRMED COST BREAKDOWN v4.0 (ALL PARKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 16, 2026 — v4.0: Full client group names. CIF from Linyang quotations (Jan+Feb 2026). 6 Client Groups, 51 Parks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Park Name,Client Group,Sub-Code,Time Period,District,MW,MWh,BESS,MV,CNT,CIF,CIF /kWh,Import Duty (2.66%),Port/Landing (ECTL),Customs (Interfreight),Crane+Transport (Soulis),LV MV DC AC Cables (joha),MV Terms / LV Terminations,Protect Eng,Remote Trip,UPS/Aux,LPS (DEHN),SPD (DEHN),Earthing,Install Labor,Platforms (Concrete and Steel),Civil Works (trench work only) Levelling is charged separate,Insurance (0.75%),Docs/Compl,PCC Bay,Adders & Tax Total,EMS Hardware,SCADA Local,SCADA Global,Total EMS/SCADA,Contingency,Installed Cost,Client Revenue,Price/MWh,Margin EUR,Margin %,Pricing Type
29,Galascope 1,Esperia Energy Group,ESP,Q2 2026,Famagusta,5,20.06,4,1,5,"1,848,712",92.15914407,"49,305","3,225",85,"11,800","17,300","2,200",,,"2,000","2,335","2,468","3,968","1,600","20,000","20,000","13,865",,0,"150,152",,,,"40,000","40,000","2,078,864","2,264,774","112,900","185,910",8.2%,ESTIMATED
30,Galascope 2,Esperia Energy Group,ESP,Q2 2026,Famagusta,2.5,10.03,2,1,3,"974,000",97.10867398,"29,220","1,935",85,"7,080","8,660","2,200",,\,"2,000","1,476","1,801","2,381","1,600","10,000","10,000","7,305",,0,"85,743",,,,"20,000","20,000","1,099,743","1,213,630","121,000","113,887",9.4%,ESTIMATED
29,Spanercom 1,Esperia Energy Group,SPA,Q2 2026,Paphos,5,20,4,1,5,"1,848,712",92.15914407,"49,176","3,225",85,"24,500","17,300","2,200","5,000","3,000","2,000","2,335","2,468","3,968","1,600","20,000","20,000","13,865",,0,"170,722",,,,"30,000","10,000","2,049,435","2,387,140","119,000","337,705",14.1%,ESTIMATED
29,Spanercom 2,Esperia Energy Group,SPA,Q2 2026,Paphos,5,20,4,1,5,"1,848,712",92.15914407,"49,176","3,225",85,"24,500","17,300","2,200","5,000","3,000","2,000","2,335","2,468","3,968","1,600","20,000","20,000","13,865",,0,"170,722",,,,"30,000","10,000","2,049,435","2,387,140","119,000","337,705",14.1%,ESTIMATED
26,Esperia Famagusta,Esperia Energy Group,ESP,Q2 2026,Famagusta,6.5,20,4,1,5,"1,951,711",97.585529,"51,916","3,225",85,"11,800","9,100","2,200","5,000","3,000","2,000","2,335","2,468","3,968","1,600","40,000",,"14,638","7,000",0,"163,835","47,513","30,000","5,455","82,968",,"2,198,513","2,500,334","125,017","301,821",12.1%,ESTIMATED
27,Esperia Famagusta 2,Esperia Energy Group,ESP,Q2 2026,Famagusta,5,20,4,1,5,"1,848,712",92.4356215,"49,176","3,225",85,"12,500","7,000","2,200","5,000","3,000","2,000","2,335","2,468","3,968","1,600","40,000",,"13,865","7,000",0,"158,222","47,513","30,000","5,455","82,968",,"2,089,903","2,258,900","112,945","168,997",7.5%,ESTIMATED
28,Esperia Frenaros,Esperia Energy Group,ESP,Q4 2026,Famagusta,25,100,20,3,23,"8,782,302",87.82302,"233,609","14,835",85,"51,920","35,000","4,400","6,000","3,000","2,000","10,441","8,748","18,253","1,600","200,000",,"65,867","7,000",0,"669,758","167,132","30,000","5,455","202,587",,"9,654,647","11,079,435","110,794","1,424,788",12.9%,ESTIMATED
31,Esperia Limassol,Esperia Energy Group,ESP,Q4 2026,Limassol,8,60,12,2,14,"4,937,363",82.28938333,"131,334","9,030",85,"33,040","11,200","4,400","6,000","3,000","2,000","6,388","5,608","11,110","1,600","120,000",,"37,030","7,000",0,"395,825","107,323","30,000","5,455","142,778",,"5,475,966","6,003,120","100,052","527,154",8.8%,ESTIMATED
32,Esperia Tseri,Esperia Energy Group,ESP-2028,2028,Nicosia,7,20,4,1,5,"2,001,736",100.0868,"53,246","3,225",85,"11,800","9,800","2,200","5,000","3,000","2,000","2,335","2,468","3,968","1,600","40,000",,"15,013","7,000",0,"166,240","47,513","30,000","5,455","82,968",,"2,250,944","2,559,071","127,954","308,127",12.0%,ESTIMATED
33,Esperia Tseri 2a,Esperia Energy Group,ESP-2028,2028,Nicosia,2.5,7.5,2,1,3,"871,307",116.1742667,"23,177","1,935",85,"7,080","3,500","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","15,000",,"6,535","7,000",0,"87,269","33,374","15,000","5,455","53,829",,"1,012,405","1,159,991","154,666","147,586",12.7%,ESTIMATED
34,Esperia Tseri 2b,Esperia Energy Group,ESP-2028,2028,Nicosia,7.5,25,5,2,7,"2,476,649",99.06596,"65,879","4,515",85,"16,520","10,500","4,400","6,000","3,000","2,000","3,382","3,273","5,555","1,600","50,000",,"18,575","7,000",0,"209,284","54,583","30,000","5,455","90,038",,"2,775,971","3,169,128","126,765","393,157",12.4%,ESTIMATED
35,Esperia Tseri 2c,Esperia Energy Group,ESP-2028,2028,Nicosia,6,20,4,1,5,"1,907,319",95.36595,"50,735","3,225",85,"11,800","8,400","2,200","5,000","3,000","2,000","2,335","2,468","3,968","1,600","40,000",,"14,305","7,000",0,"161,621","47,513","30,000","5,455","82,968",,"2,151,908","2,444,867","122,243","292,959",12.0%,ESTIMATED
36,Esperia Tseri 3,Esperia Energy Group,ESP-2028,2028,Nicosia,4.5,15,3,1,4,"1,562,533",104.1688667,"41,563","2,580",85,"11,800","6,300","4,400","6,000","3,000","2,000","1,906","2,134","3,174","1,600","30,000",,"11,719","7,000",0,"142,262","40,444","30,000","5,455","75,899",,"1,780,694","2,008,827","133,922","228,133",11.4%,ESTIMATED
37,Classone Solar Breeze,Lampros Andreadis,CLS,TBC,Limassol,1.51,5,1,1,2,"585,976",117.1952,"15,587","1,290",85,"4,720","2,114","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","10,000",,"4,395","7,000",0,"66,592","26,304","15,000","60,000","101,304",,"753,872","795,443","159,089","41,571",5.2%,ESTIMATED
38,Classone Solar Garden,Lampros Andreadis,CLS,TBC,Limassol,3.29,10,2,1,3,"1,007,809",100.7809,"26,808","1,935",85,"7,080","4,606","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"7,559","7,000",0,"98,030","33,374","30,000",0,"63,374",,"1,169,213","1,321,976","132,198","152,763",11.6%,ESTIMATED
39,Paphos 1,A Kerasi,PAP,TBC,Paphos,2.5,7.5,2,1,3,"871,307",116.1742667,"23,177","1,935",85,"7,080","3,500","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","15,000",,"6,535","7,000",0,"87,269","33,374","15,000","60,000","108,374",,"1,066,950","1,159,302","154,574","92,351",8.0%,ESTIMATED
40,Paphos 2,A Kerasi,PAP,TBC,Paphos,2.5,7.5,2,1,3,"871,307",116.1742667,"23,177","1,935",85,"7,080","3,500","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","15,000",,"6,535","7,000",0,"87,269","33,374","15,000","60,000","108,374",,"1,066,950","1,159,302","154,574","92,351",8.0%,ESTIMATED
41,Paphos 3,A Kerasi,PAP,TBC,Paphos,1.5,5,1,1,2,"541,046",108.2092,"14,392","1,290",85,"4,720","2,100","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","10,000",,"4,058","7,000",0,"65,046","26,304","15,000","60,000","101,304",,"707,396","742,767","148,553","35,371",4.8%,ESTIMATED
42,My Sun Park,Ioannis Karis,MSP,TBC,Limassol,7.7,25,5,2,7,"2,523,652",100.94608,"67,129","4,515",85,"16,520","10,780","4,400","6,000","3,000","2,000","3,382","3,273","5,555","1,600","50,000",,"18,927","7,000",0,"211,166","54,583","30,000",0,"84,583",,"2,819,401","3,220,675","128,827","401,273",12.5%,ESTIMATED
43,L&T Res Systems,Timotheos Timotheou,LT,TBC,Famagusta,1,4,1,1,2,"509,419",127.35475,"13,551","1,290",85,"4,720","1,400","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","8,000",,"3,821","7,000",0,"61,267","26,304","15,000","6,667","47,971",,"618,657","705,395","176,349","86,738",12.3%,ESTIMATED
44,L&T Solar Power,Timotheos Timotheou,LT,TBC,Famagusta,1.5,5,1,1,2,"585,976",117.1952,"15,587","1,290",85,"4,720","2,100","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","10,000",,"4,395","7,000",0,"66,578","26,304","15,000","6,667","47,971",,"700,525","797,496","159,499","96,971",12.2%,ESTIMATED
45,L&T Sun Energy,Timotheos Timotheou,LT,TBC,Limassol,5,15,3,1,4,"1,592,098",106.1398667,"42,350","2,580",85,"11,800","7,000","4,400","6,000","3,000","2,000","1,906","2,134","3,174","1,600","30,000",,"11,941","7,000",0,"143,970","40,444","30,000","6,667","77,111",,"1,813,179","2,042,130","136,142","228,951",11.2%,ESTIMATED
46,AGM Lightpower,Timotheos Timotheou,AGM,Batch 2,Nicosia,8,24,5,2,7,"2,523,652",105.1521667,"67,129","4,515",85,"16,520","11,200","4,400","6,000","3,000","2,000","3,382","3,273","5,555","1,600","48,000",,"18,927","7,000",0,"209,586","54,583","30,000","6,667","91,250",,"2,824,488","3,225,985","134,416","401,497",12.4%,ESTIMATED
47,AGM Sunfield 1,Timotheos Timotheou,AGM,Batch 2,Nicosia,5,15,3,1,4,"1,592,098",106.1398667,"42,350","2,580",85,"11,800","7,000","4,400","6,000","3,000","2,000","1,906","2,134","3,174","1,600","30,000",,"11,941","7,000",0,"143,970","40,444","30,000","6,667","77,111",,"1,813,179","2,044,888","136,326","231,709",11.3%,ESTIMATED
48,AGM Sunfield 2,Timotheos Timotheou,AGM,Batch 2,Nicosia,1.5,5,1,1,2,"585,976",117.1952,"15,587","1,290",85,"4,720","2,100","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","10,000",,"4,395","7,000",0,"66,578","26,304","15,000","6,667","47,971",,"700,525","796,807","159,361","96,282",12.1%,ESTIMATED
49,AGM Sunfield 3,Timotheos Timotheou,AGM,Batch 2,Nicosia,1,4,1,1,2,"509,419",127.35475,"13,551","1,290",85,"4,720","1,400","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","8,000",,"3,821","7,000",0,"61,267","26,304","15,000","6,667","47,971",,"618,657","704,706","176,176","86,048",12.2%,ESTIMATED
50,L&T Energia,Timotheos Timotheou,LT,TBC,Nicosia,1.5,5,1,1,2,"585,976",117.1952,"15,587","1,290",85,"4,720","2,100","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","10,000",,"4,395","7,000",0,"66,578","26,304","15,000","6,667","47,971",,"700,525","796,807","159,361","96,282",12.1%,ESTIMATED
51,L&T PV Tech,Timotheos Timotheou,LT,TBC,Nicosia,1,4,1,1,2,"509,419",127.35475,"13,551","1,290",85,"4,720","1,400","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","8,000",,"3,821","7,000",0,"61,267","26,304","15,000","6,667","47,971",,"618,657","704,706","176,176","86,048",12.2%,ESTIMATED
1,Greendorado Agrivoltaic,ABIO Power,ABIO,TBC,Larnaca,0.75,3,1,1,2,"446,042",148.6805167,"11,865","1,290",85,"4,720","1,400","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","6,000",,"3,345","7,000",0,"57,106","26,304","15,000","2,400","43,704",,"546,852","628,265","209,422","81,413",13.0%,ESTIMATED
2,Greendorado Larnaca 1,ABIO Power,GRD,TBC,Larnaca,1.25,5,1,1,2,"564,553",112.910554,"15,017","1,290",85,"4,720","2,800","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","10,000",,"4,234","7,000",0,"66,548","26,304","15,000","2,400","43,704",,"674,804","770,397","154,079","95,593",12.4%,ESTIMATED
3,Greendorado Larnaca 2,ABIO Power,GRD,TBC,Larnaca,1,5,1,1,2,"560,994",112.1988,"14,922","1,290",85,"4,720","1,400","2,200","5,000","3,000","2,000","1,047","1,467","1,587","1,600","10,000",,"4,207","7,000",0,"65,026","26,304","15,000","2,400","43,704",,"669,724","765,751","153,150","96,026",12.5%,ESTIMATED
4,Agios Sozomenos,ABIO Power,ABIO,TBC,Nicosia,6,25,5,1,6,"2,310,908",92.4363276,"61,470","3,870",85,"14,160","8,400","2,200","6,000","3,000","2,000","2,765","2,802","4,762","1,600","50,000",,"17,332","7,000",0,"190,945","54,583","30,000","2,400","86,983",,"2,588,836","3,136,513","125,461","547,677",17.5%,ESTIMATED
5,Dianary 1,ABIO Power,DIA,TBC,Nicosia,2.5,10,2,1,3,"974,457",97.4457,"25,921","1,935",85,"7,080","4,900","2,200","5,000","3,000","2,000","1,476","1,801","2,381","1,600","20,000",,"7,308","7,000",0,"97,187","33,374","30,000","2,400","65,774",,"1,137,418","1,206,300","120,630","68,882",5.7%,ESTIMATED
