Period,View,Line,Amount_EUR,Source
FY2025,FULL-COST PRIMARY (Accrual CSV),Revenue,218183.0,Accural 2025.csv
FY2025,FULL-COST PRIMARY (Accrual CSV),COGS — subcontractors,-147789.0,Accural 2025.csv
FY2025,FULL-COST PRIMARY (Accrual CSV),Gross profit after COGS,70394.0,calc
FY2025,FULL-COST PRIMARY (Accrual CSV),Sales commission,-17746.39,Accural 2025.csv
FY2025,FULL-COST PRIMARY (Accrual CSV),Payroll — employees,-24500.0,Accural 2025.csv
FY2025,FULL-COST PRIMARY (Accrual CSV),Social insurance (employer),-9885.65,Accural 2025.csv
FY2025,FULL-COST PRIMARY (Accrual CSV),Marketing & ads,-22077.45,Accural 2025.csv
FY2025,FULL-COST PRIMARY (Accrual CSV),Accountant / cars / travel,-4600.0,Accural 2025.csv
FY2025,FULL-COST PRIMARY (Accrual CSV),Net profit/(loss),-8415.48999999999,Accural 2025.csv
FY2025,Payslip cross-check,Gross wages on slips (Jul–Dec),15650.0,team/payslips
FY2025,Payslip cross-check,Employer on-cost on slips,2410.16,team/payslips — Shapiro DD ~15.4% rates
FY2025,Payslip cross-check,Total employer cost on slips,18060.16,gross+employer
FY2025,"Apr report (optimistic, superseded)",Net profit (understated opex),41998,financial-report-apr2026.md §2 — DO NOT USE as primary
2026 YTD Jan–May,FULL-COST PRIMARY (Accrual model),Revenue (system sales),46850,Accural 2026.csv Jan–May
2026 YTD Jan–May,FULL-COST PRIMARY (Accrual model),COGS — subcontractors,-28110,Accural 2026.csv
2026 YTD Jan–May,FULL-COST PRIMARY (Accrual model),Sales commission,-6184.2,Accural 2026.csv
2026 YTD Jan–May,FULL-COST PRIMARY (Accrual model),Payroll + SI (all staff lines),-61092,Accural 2026.csv
2026 YTD Jan–May,FULL-COST PRIMARY (Accrual model),Marketing,-10500,Accural 2026.csv
2026 YTD Jan–May,FULL-COST PRIMARY (Accrual model),Other (acct/cars/travel/AI),-10280,Accural 2026.csv
2026 YTD Jan–May,FULL-COST PRIMARY (Accrual model),Net profit/(loss),-69316.2,calc
2026 YTD Jan–May,Payslip cross-check,Gross wages on slips,41461.36,team/payslips
2026 YTD Jan–May,Payslip cross-check,Employer on-cost on slips,6385.1,team/payslips
2026 YTD Jan–May,Bank people (cash),Payroll+contractors+commissions cash out,-48720.67,BOC categorize
Memo,Shareholder loans,Bank draws 2025,5500,BOC
Memo,Shareholder loans,Bank draws 2026 YTD,22000,BOC
Memo,Shareholder loans,Bank draws cumulative,27500,BOC
Memo,Shareholder loans,Share-backed advance (confirm),15000,May cash assessment
Memo,Shareholder loans,Revolut founder returns 2025,-5203.57,Apr report treatment
Memo,Shareholder loans,Revolut founder returns 2026 YTD,-4987.37,Apr report treatment
