AsOf,AccountCode,AccountName,Debit_EUR,Credit_EUR,Notes
2025-12-31,1000,Cash at bank,1924.26,,BOC 31 Dec 2025
2025-12-31,1100,Trade receivables,155388.00,,Contract book − cash applied 2025
2025-12-31,5000,COGS — subcontractors,147789.00,,Accural 2025.csv
2025-12-31,6100,Sales commission,17746.39,,
2025-12-31,6200,Payroll — employees,24500.00,,Alex+Anasta+Tatiana+Chris+Novia
2025-12-31,6210,Social insurance (employer),9885.65,,
2025-12-31,6300,Marketing & advertising,22077.45,,
2025-12-31,6400,Accountant / cars / travel,4600.00,,
2025-12-31,2000,AP — Trikkis,,127631.00,Accrued COGS − cash paid
2025-12-31,2100,VAT payable (est.),,5000.00,ESTIMATE
2025-12-31,2200,SI payable (est.),,2500.00,Arrears starting Dec
2025-12-31,2300,Commission payable,,10562.27,Accrued − bank paid Talalova etc.
2025-12-31,2500,Shareholder loans (gross draws),,5500.00,Sybaris bank 2025 only — see loan schedule
2025-12-31,4000,Revenue — PV,,218183.00,
2025-12-31,3000,Equity / capital (balancing),,14534.48,"BALANCING — implies RE loss -8,415 absorbed in equity stack"
2026-05-15,1000,Cash at bank,7653.65,,BOC 15 May 2026
2026-05-15,1100,Trade receivables,88580.00,,
2026-05-15,3200,Accumulated deficit (full-cost P&L),77731.69,,"FY2025 loss 8,415 + 2026 YTD loss 69,316"
2026-05-15,2000,AP — Trikkis,,42734.00,
2026-05-15,2050,AP — GRS,,6500.00,
2026-05-15,2100,VAT payable (est.),,3500.00,
2026-05-15,2200,SI arrears,,9000.00,
2026-05-15,2300,Commission payable,,650.00,
2026-05-15,2500,Shareholder loans (gross bank),,27500.00,See shareholder-loans-schedule.csv
2026-05-15,3000,Share capital / equity (balancing),,84081.34,BALANCING — not statutory share capital
