Κατάλογος Εξαιρέσεων από Άδεια,,,,,,,,,,,,,
Όνομα Αδειούχου,Αριθμός Άδειας,Ημερομηνία Έναρξης,Ημερομηνία Λήξης,Ισχύς (KW),Αποθήκευση ενέργειας – Ισχύς εξόδου (kW),Αποθήκευση ενέργειας – Αποθηκευτική ισχύς (kWh),Τεχνολογία,Τύπος Τεχνολογίας,Καύσιμο,Τύπος Άδειας,Καθεστώς Λειτουργίας,Επαρχία,Δήμος/Κοινότητα
POWERDELIVERY LTD ,Ε005129/2025,12/12/2025,11/12/2055,120,-,-,ΑΠΕ,Φωτοβολταϊκό σύστημα,-,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση ,Λάρνακα,Αραδίππου
RISANTHI LTD,Ε005128/2025,09/12/2025,08/12/2030,6000,6000,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγιοί Τριμιθιάς
RISANTHI LTD,Ε005127/2025,09/12/2025,08/12/2030,1540,1540,1540,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Δάλι
G.P. PARK PV LTD,Ε005126/2025,09/12/2025,08/12/2030,1070,1000,1000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Πέρα
G.P. PARK PV LTD,Ε005125/2025,09/12/2025,08/12/2030,240,200,200,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Μαργί
K. KYTHREOTIS HOLDINGS PUBLIC LTD,Ε005124/2025,09/12/2025,08/12/2030,2295,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Ύψωνας
K. KYTHREOTIS HOLDINGS PUBLIC LTD,Ε005123/2025,09/12/2025,08/12/2030,1123,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Ύψωνας
TH. SOULIS ENERGY LTD,Ε005122/2025,09/12/2025,08/12/2030,0,400,1600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Καλό Χωριό Λάρνακας
BIOLAND PROJECT 95 LTD,Ε005121/2025,03/12/2025,02/12/2055,692.3,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό 
SECMAS ESTATES LTD,Ε005120/2025,26/11/2025,25/11/2030,550,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Σιά
WATTZ PROJECT 8 LTD,Ε005119/2025,26/11/2025,25/11/2030,660,660,2000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Παλαιομέτοχο
Α. ΚΕΡΑΣΙ (ΦΩΤΟΒΟΛΤΑΙΚΑ) ΛΤΔ,Ε005118/2025,26/11/2025,25/11/2030,0,3000,8000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Μηλιά
Α. ΚΕΡΑΣΙ (ΦΩΤΟΒΟΛΤΑΙΚΑ) ΛΤΔ,Ε005117/2025,26/11/2025,25/11/2030,0,3000,8000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Μηλιά
VLASIOU ELECTRIC SISTERS &AMP; PARTNERS LTD,Ε005116/2025,21/11/2025,20/11/2055,2200,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Τριμίκληνη
SUNA LTD,Ε005115/2025,21/11/2025,20/11/2055,4500,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Κούκα
BIOLAND PROJECT 67 LTD,Ε005114/2025,21/11/2025,20/11/2030,0,120,360,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Σανίδα
BIOLAND PROJECT 67 LTD,Ε005113/2025,21/11/2025,20/11/2030,0,120,360,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Σανίδα
BIOLAND PROJECT 67 LTD,Ε005112/2025,21/11/2025,20/11/2030,0,120,360,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Σανίδα
P. LAMBI SOLAR ENTERPRISE LTD,Ε005111/2025,21/11/2025,20/11/2030,120,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αραδίππου
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε005110/2025,21/11/2025,20/11/2030,119,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Τσέρι 
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε005109/2025,21/11/2025,20/11/2030,119,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Λακατάμεια
ANTIS ESTATES LTD,Ε005108/2025,12/11/2025,11/11/2037,300,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,Χλώρακα
ΦΑΡΜΑ Α.ΠΙΠΗ ΛΤΔ,Ε005107/2025,12/11/2025,11/11/2037,100,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Άγιο Ιωάννη
ΑΓΡΟΚΤΗΜΑ ΤΣΟΥΜΑ ΛΤΔ,Ε005106/2025,12/11/2025,11/11/2037,100,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Ορούντα
ΦΑΡΜΑ Ν.ΠΙΠΗΣ ΛΤΔ,Ε005105/2025,12/11/2025,11/11/2037,100,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Πάνω Δευτερά
THE CYPRUS ANTI-CANCER SOCIETY,Ε005104/2025,12/11/2025,11/11/2037,35.2,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εφεδρεία,Λεμεσός,-
