Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Campaign start date,Ad Group,Ad Group Type,Max CPC,Locations,Languages
Brand — SolarFarms / Lighthief,Search,Paused,15.00,Daily,Target Impression Share,Search,2026-02-12,SolarFarms Brand,Standard,2.00,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates",English;Greek
Brand — SolarFarms / Lighthief,Search,Paused,15.00,Daily,Target Impression Share,Search,2026-02-12,Lighthief Brand,Standard,2.00,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates",English;Greek
Search — Solar Investment Cyprus [HNI],Search,Paused,80.00,Daily,Manual CPC,Search,2026-02-12,Solar Farm Investment,Standard,5.00,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates;Switzerland",English
Search — Solar Investment Cyprus [HNI],Search,Paused,80.00,Daily,Manual CPC,Search,2026-02-12,Renewable Energy Investment Cyprus,Standard,4.50,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates;Switzerland",English
Search — Solar Investment Cyprus [HNI],Search,Paused,80.00,Daily,Manual CPC,Search,2026-02-12,Green Investment High Yield,Standard,5.50,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates;Switzerland",English
Search — Solar Investment Cyprus [HNI],Search,Paused,80.00,Daily,Manual CPC,Search,2026-02-12,Cyprus Energy Investment,Standard,4.00,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates;Switzerland",English
Search — BESS Curtailment Cyprus [Park Owners],Search,Paused,60.00,Daily,Manual CPC,Search,2026-02-12,Solar Curtailment Solution,Standard,6.00,Cyprus,English;Greek
Search — BESS Curtailment Cyprus [Park Owners],Search,Paused,60.00,Daily,Manual CPC,Search,2026-02-12,BESS for Solar Parks,Standard,5.50,Cyprus,English;Greek
Search — BESS Curtailment Cyprus [Park Owners],Search,Paused,60.00,Daily,Manual CPC,Search,2026-02-12,Battery Storage Cyprus EPC,Standard,5.00,Cyprus,English;Greek
Search — BESS Curtailment Cyprus [Park Owners],Search,Paused,60.00,Daily,Manual CPC,Search,2026-02-12,Solar Park Revenue Loss,Standard,5.00,Cyprus,English;Greek
Search — BESS Investment [HNI+Technical],Search,Paused,50.00,Daily,Manual CPC,Search,2026-02-12,Battery Storage Investment,Standard,5.00,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates",English
Search — BESS Investment [HNI+Technical],Search,Paused,50.00,Daily,Manual CPC,Search,2026-02-12,BESS ROI,Standard,4.50,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates",English
Search — BESS Investment [HNI+Technical],Search,Paused,50.00,Daily,Manual CPC,Search,2026-02-12,Energy Storage Europe,Standard,4.00,"Cyprus;Greece;United Kingdom;Germany;United Arab Emirates",English
Search — Alternative Investments [HNI],Search,Paused,40.00,Daily,Manual CPC,Search,2026-02-12,Alternative to Bonds,Standard,4.50,"Cyprus;Greece;United Kingdom;Germany",English
Search — Alternative Investments [HNI],Search,Paused,40.00,Daily,Manual CPC,Search,2026-02-12,Green Investment EU,Standard,4.00,"Cyprus;Greece;United Kingdom;Germany",English
Search — Alternative Investments [HNI],Search,Paused,40.00,Daily,Manual CPC,Search,2026-02-12,Passive Income Real Assets,Standard,4.00,"Cyprus;Greece;United Kingdom;Germany",English
