Developer group,Brand,SPVs,Licences,PV MWp,BESS MW,Max score,Primary target,Districts,Directors,Developer domain,Best contact,Best email,Best phone,Confidence,Companies
bioland,BIOLAND,16,24,124.90,83.95,52,Hybrid EPC (PV + BESS),Larnaca; Nicosia; Famagusta,ΙΡΙΝΑ ΗΡΑΚΛΕΟΥΣ; ΑΝΔΡΕΑΣ ΜΙΧΑΗΛ; ΔΗΜΗΤΡΙΟΣ ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ; ΕΚΑΤΕΡΙΝΑ ΦΑΤΕΡΟΒΑ,biolandenergy.com,,,,,BIOLAND PROJECT 1 LTD; BIOLAND PROJECT 25 LTD; BIOLAND PROJECT 44 LTD; BIOLAND PROJECT 46 LTD; BIOLAND PROJECT 5 LTD; BIOLAND PROJECT 51 LTD; BIOLAND PROJECT 70 LTD; BIOLAND PROJECT 71 LTD
santiam,SANTIAM,5,8,50.01,12.93,54,PV O&M,Nicosia,ΜΑΡΙΑ ΠΑΤΣΑΛΙΔΟΥ; ΠΑΥΛΟΣ ΣΤΕΦΑΝΙΔΗΣ,,,,,,HELLENIQ RENEWABLES CYPRUS AGIA VARVARA LTD; RES ZEUS ELECTRICITY COMPANY LTD; SANTIAM INVESTMENT I LTD; SANTIAM INVESTMENT IV LTD; SOLIGHT ELECTRICITY COMPANY LTD
mandrill,MANDRILL,5,16,103.30,58.13,52,Hybrid EPC (PV + BESS),Larnaca; Nicosia,PIETER JOHAN M. GODDERIS,sveasolar.com,,,,,CALIFERA LTD; CARCALINA LTD; CROTALINA LTD; MANDRILL LTD; SAOLA LTD
heliopex,HELIOPEX,4,4,25.00,19.65,52,Hybrid EPC (PV + BESS),Larnaca; Nicosia,ΦΙΛΙΠΠΟΣ ΠΑΤΣΑΛΗΣ; ΓΕΩΡΓΙΟΣ ΚΑΛΛΕΝΟΣ,,,,,,HELIOPEX 1 LTD; HELIOPEX 2 LTD; HELIOPEX 3 LTD; HELIOPEX 5 LTD
zelde,ZELDE,3,6,44.46,0.00,50,PV EPC,Larnaca,ΑΝΤΩΝΙΤΣΑ ΚΩΝΣΤΑΝΤΙΝΟΥ; ΧΡΙΣΤΙΑΝΑ ΠΕΡΔΙΚΟΥ; JEAN-MARC FELIX BRUEL,zelde.com,,,,,FIVE RED LTD; ONERED LTD; ZELDE HOLDINGS LTD
gp-rodik,GP RODIK,3,8,41.13,7.50,44,Hybrid EPC (PV + BESS),Larnaca; Limassol,ΚΛΕΑΝΘΗΣ ΕΛΛΗΝΑΣ; ΜΑΡΙΑ ΕΛΛΗΝΑ,,,,,,D.K. SOLAR PROJECT HOLDINGS LTD; GP RODIK SERVICES LTD; PLETEA INVESTMENTS LTD
agm,AGM,2,18,114.00,61.00,52,Hybrid EPC (PV + BESS),Famagusta; Paphos; Nicosia; Limassol,ΤΙΜΟΘΕΟΣ ΤΙΜΟΘΕΟΥ,,,,,,AGM LIGHTPOWER LTD; AGM SOLAR POWER LTD
vemaria-enterprises,VEMARIA ENTERPRISES,2,17,88.05,55.65,52,Hybrid EPC (PV + BESS),Nicosia; Limassol,ΣΤΥΛΙΑΝΟΣ ΓΕΩΡΓΙΟΥ; ΔΗΜΟΣ ΔΗΜΟΥ,,,,,,GOTIARE LTD; VEMARIA ENTERPRISES LTD
greenium,GREENIUM,2,2,12.50,6.85,52,Hybrid EPC (PV + BESS),Larnaca; Limassol,ΚΥΡΙΑΚΟΣ ΧΑΡΑΛΑΜΠΟΥΣ; ΧΡΙΣΤΑΚΗΣ ΧΑΡΑΛΑΜΠΟΥΣ,,,,,,GREENIUM ENERGY LTD; KERIA ENERGY LTD
phoenix,PHOENIX,2,4,28.40,0.00,50,PV EPC,Famagusta; Larnaca,ROGER TANIOS; JIHAD HANI,phoenixlb.com,,,,,PHOENIX POWER 3 LTD; PHOENIX POWER 4 LTD
mzeo,MZEO,2,3,16.78,0.50,48,PV EPC,Nicosia,IRAKLI BUKHIASHVILI,,,,,,MZEO LTD; RENERGETIC LTD
gka,GKA,2,2,14.03,6.40,48,PV EPC,Larnaca; Nicosia,ΓΕΩΡΓΙΟΣ ΓΕΩΡΓΙΟΥ,,,,,,GKA ENERGY LTD; GKA SUNENERGY LTD
-,ΗΛΙΟΜΟΡΦΟΝ ΛΤΔ,2,4,10.00,10.00,44,PV O&M,Nicosia,ΕΛΕΝΑ ΓΕΩΡΓΙΟΥ; ΝΑΤΑΛΙΑ ΙΩΑΝΝΟΥ,,,,,,ARMOLIA INVESTMENTS LTD; ΗΛΙΟΜΟΡΦΟΝ 1 ΛΤΔ
--2,ΑΡΧΗ ΗΛΕΚΤΡΙΣΜΟΥ,1,9,52.00,0.00,56,PV O&M,Nicosia; Limassol,,,,,,,ΑΡΧΗ ΗΛΕΚΤΡΙΣΜΟΥ ΚΥΠΡΟΥ
haffneve,HAFFNEVE,1,8,39.03,2.00,52,Hybrid EPC (PV + BESS),Larnaca; Nicosia,ΔΗΜΗΤΡΗΣ ΖΟΡΠΑΣ; ΚΩΝΣΤΑΝΤΙΝΟΣ ΖΟΡΠΑΣ,,,,,,HAFFNEVE HOLDING LTD
gka-sunpower,GKA SUNPOWER,1,7,35.39,12.86,52,Hybrid EPC (PV + BESS),Larnaca; Nicosia; Famagusta,,,,,,,GKA SUNPOWER LTD
igva,IGVA,1,5,29.75,24.55,52,Hybrid EPC (PV + BESS),Larnaca; Nicosia; Limassol,IGOR PAVLENKO,,,,,,IGVA SOLAR ENERGY LTD
e-evergreen,E EVERGREEN,1,4,23.70,14.50,52,Hybrid EPC (PV + BESS),Limassol,,,,,,,L. E. EVERGREEN ENERGY LTD
ergo,ERGO,1,2,13.00,7.50,52,Hybrid EPC (PV + BESS),Limassol,ΚΥΡΙΑΚΟΣ ΚΥΡΙΑΚΙΔΗΣ; ΚΩΣΤΑΣ ΜΑΥΡΟΜΜΑΤΗΣ,,,,,,ERGO ENERGY PV PARKS LTD
petrolina,PETROLINA,1,2,12.50,12.50,52,Hybrid EPC (PV + BESS),Nicosia,ΓΕΩΡΓΙΑ ΛΕΥΚΑΡΙΤΗ ΙΩΑΝΝΟΥ; ΝΙΚΟΛΑΣ ΕΠΙΦΑΝΙΟΥ,,,,,,PETROLINA ELECTRIC LTD
eloads,ELOADS,1,1,8.00,8.00,52,Hybrid EPC (PV + BESS),Larnaca,POWERNEST LTD; ΣΩΚΡΑΤΗΣ ΓΕΩΡΓΙΑΔΗΣ,,,,,,ELOADS ENERGIES STORAGE LTD
a-t,A T,1,1,8.00,8.00,52,Hybrid EPC (PV + BESS),Larnaca,,,,,,,A&T ENERGY LTD
pureenergyintel,PUREENERGYINTEL,1,1,7.99,1.00,52,Hybrid EPC (PV + BESS),Limassol,ΞΕΝΟΦΩΝ ΞΕΝΟΦΩΝΤΟΣ,,,,,,M.X. PUREENERGYINTEL LTD
--3,ΑΡΗΣ ΑΘΛΗΤΙΚΕΣ,1,1,7.96,7.80,52,Hybrid EPC (PV + BESS),Limassol,ΑΝΔΡΕΑΣ ΣΟΦΟΚΛΕΟΥΣ; ΚΥΡΙΑΚΟΣ ΧΑΤΖΗΚΥΡΙΑΚΟΥ,,,,,,ΑΡΗΣ ΑΘΛΗΤΙΚΕΣ ΕΓΚΑΤΑΣΤΑΣΕΙΣ ΛΤΔ
greenfin,GREENFIN,1,13,103.87,0.00,50,PV EPC,Larnaca,ΑΛΕΞΑΝΔΡΟΣ ΑΛΕΞΑΝΔΡΟΥ,,,,,,GREENFIN ENERGIES KYRA LTD
esc-eastern,ESC EASTERN,1,10,57.60,0.00,50,PV EPC,Famagusta,,,,,,,ESC EASTERN SOLAR COMPANY LTD
