levels,buy,sell,trail_pct,leverage,trades,win_rate,final_eur,return_pct,max_dd,blown,stoch_exits,trail_exits
25/75,25,75,,10,8,62.5,0.0,-100.0,100.0,True,7,0
25/75,25,75,1.0,10,52,88.5,13703195.13,1370219.5,3.6,False,0,52
25/75,25,75,1.5,10,52,78.8,2419085.46,241808.5,10.9,False,0,52
25/75,25,75,2.0,10,52,73.1,584121.64,58312.2,26.0,False,0,52
25/75,25,75,2.5,10,52,69.2,88446.44,8744.6,45.1,False,0,52
25/75,25,75,3.0,10,52,59.6,9437.2,843.7,75.6,False,0,52
25/75,25,75,3.5,10,52,51.9,2046.86,104.7,88.4,False,1,51
25/75,25,75,4.0,10,52,46.2,848.47,-15.2,94.6,False,2,50
25/75,25,75,4.5,10,50,50.0,544.91,-45.5,94.9,False,4,46
25/75,25,75,5.0,10,49,49.0,430.19,-57.0,95.6,False,5,44
25/75,25,75,5.5,10,49,36.7,43.32,-95.7,98.3,False,6,43
25/75,25,75,6.0,10,47,36.2,32.1,-96.8,99.2,False,7,40
25/75,25,75,6.5,10,45,40.0,24.48,-97.6,99.4,False,9,36
25/75,25,75,7.0,10,44,47.7,98.77,-90.1,98.7,False,13,31
25/75,25,75,7.5,10,42,45.2,53.18,-94.7,99.3,False,13,29
25/75,25,75,8.0,10,41,43.9,14.33,-98.6,99.7,False,13,28
25/75,25,75,8.5,10,41,46.3,3.98,-99.6,99.9,False,14,27
25/75,25,75,9.0,10,40,50.0,5.72,-99.4,99.8,False,17,23
25/75,25,75,9.5,10,40,52.5,7.23,-99.3,99.7,False,19,21
25/75,25,75,10.0,10,40,52.5,3.26,-99.7,99.9,False,21,19
25/75,25,75,10.5,10,40,52.5,0.45,-100.0,100.0,False,22,18
25/75,25,75,11.0,10,39,59.0,0.64,-99.9,100.0,False,24,15
25/75,25,75,11.5,10,9,55.6,0.0,-100.0,100.0,True,7,2
25/75,25,75,12.0,10,9,55.6,0.0,-100.0,100.0,True,7,1
25/75,25,75,12.5,10,8,62.5,0.0,-100.0,100.0,True,7,0
25/75,25,75,13.0,10,8,62.5,0.0,-100.0,100.0,True,7,0
25/75,25,75,13.5,10,8,62.5,0.0,-100.0,100.0,True,7,0
25/75,25,75,14.0,10,8,62.5,0.0,-100.0,100.0,True,7,0
25/75,25,75,14.5,10,8,62.5,0.0,-100.0,100.0,True,7,0
25/75,25,75,15.0,10,8,62.5,0.0,-100.0,100.0,True,7,0
20/80,20,80,,10,1,0.0,0.0,-100.0,100.0,True,0,0
20/80,20,80,1.0,10,51,84.3,877413.74,87641.4,7.4,False,0,51
20/80,20,80,1.5,10,51,66.7,86364.74,8536.5,19.7,False,0,51
20/80,20,80,2.0,10,51,56.9,22165.87,2116.6,37.6,False,0,51
20/80,20,80,2.5,10,51,52.9,3720.99,272.1,55.6,False,0,51
20/80,20,80,3.0,10,51,39.2,259.77,-74.0,87.5,False,0,51
20/80,20,80,3.5,10,51,33.3,62.2,-93.8,97.2,False,2,49
20/80,20,80,4.0,10,51,35.3,19.46,-98.1,99.6,False,3,48
20/80,20,80,4.5,10,50,36.0,9.18,-99.1,99.7,False,4,46
20/80,20,80,5.0,10,50,36.0,4.39,-99.6,99.8,False,5,45
20/80,20,80,5.5,10,47,29.8,0.52,-99.9,100.0,False,4,43
20/80,20,80,6.0,10,45,31.1,0.24,-100.0,100.0,False,5,40
20/80,20,80,6.5,10,44,36.4,0.09,-100.0,100.0,False,7,37
20/80,20,80,7.0,10,43,39.5,1.36,-99.9,100.0,False,12,31
20/80,20,80,7.5,10,42,38.1,0.4,-100.0,100.0,False,12,30
20/80,20,80,8.0,10,42,40.5,0.08,-100.0,100.0,False,13,29
20/80,20,80,8.5,10,42,42.9,0.01,-100.0,100.0,False,14,28
20/80,20,80,9.0,10,40,42.5,0.0,-100.0,100.0,False,14,26
20/80,20,80,9.5,10,38,47.4,0.0,-100.0,100.0,False,16,22
20/80,20,80,10.0,10,38,50.0,0.0,-100.0,100.0,False,18,20
20/80,20,80,10.5,10,37,51.4,0.0,-100.0,100.0,False,18,19
20/80,20,80,11.0,10,37,54.1,0.0,-100.0,100.0,False,20,17
20/80,20,80,11.5,10,33,54.5,0.0,-100.0,100.0,True,19,14
20/80,20,80,12.0,10,32,53.1,0.0,-100.0,100.0,True,19,13
20/80,20,80,12.5,10,11,63.6,0.0,-100.0,100.0,True,7,4
20/80,20,80,13.0,10,11,63.6,0.0,-100.0,100.0,True,7,4
20/80,20,80,13.5,10,11,72.7,0.0,-100.0,100.0,True,8,3
20/80,20,80,14.0,10,11,72.7,0.0,-100.0,100.0,True,8,3
